ZorkID,Room Name,Room Description,Styling
23,Squeaky Room,You are in a small room. Strange squeaky sounds may be heard coming from the passage at the north end. You may also escape to the south.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
178,Stone Barrow,You are standing in front of a massive stone barrow. The path that brought you here continues to the east.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
51,Strange Passage,"This is a long passage. To the west is one entrance. On the east, there is an old wooden door, with a large iron lock.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
48,Stream,"You are on the gently flowing stream. The upstream route is too narrow to navigate, and the downstream route is invisible due to twisting walls. There is a narrow beach to land on.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
49,Stream View,You are standing on a path beside a gently flowing stream. The path travels to the north and the east.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
94,Studio,"This appears to have been an artist's studio. The walls and floors are splattered with paints of 69 different colors. Strangely enough, nothing of value is hanging here. At the south end of the room is an open door (also covered with paint). A dark and narrow chimney leads up from a fireplace.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
220,Temple,"This is the north end of a large temple. On the east wall is an ancient inscription, probably a prayer in a long forgotten language. Below the prayer is a staircase leading down.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
206,Timber Room,"This is a long and narrow passage, which is cluttered with broken timbers. A low narrow crack runs to the west.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
105,Torch Room,This is a large room with a prominent doorway leading to a down staircase. Above you is a large dome. Up around the edge of the dome (20 feet up) is a wooden railing. In the center of the room sits a white marble pedestal.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
190,Treasure Room,"This is a large room, whose east wall is solid granite. A number of discarded bags, which crumble at your touch, litter the floor. Although empty, the bags have a distinctly 'bank-loss' smell about them.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
102,Troll Room,This is a small room with passages to the east and south and a forbidding hole leading west. Bloodstains and deep scratches (perhaps made by an axe) mar the walls.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
42,Twisting Passage,This is a winding passage. It seems that there are only exits on the east and north.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
88,Up a Tree,You are about 10 feet above the ground nestled among some large branches. The nearest branch above you is above your reach. Beside you on the branch is a small bird's nest.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
180,West of House,"You are standing in an open field west of a white house, with a boarded front door. There is a small mailbox here.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
32,White Cliffs Beach,"You are on a rocky, narrow strip of beach beside the Cliffs. A narrow path leads north along the shore.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
33,White Cliffs Beach,"You are on a narrow strip of beach which runs along the base of the White Cliffs. The river, quite cold and deep, runs past at this point.","Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
43,Winding Passage,This is a winding passage. It seems that there are only exits on the east and north.,"Fantasy illustration in the style of Larry Elmore, oil painting, rich warm colors, dramatic lighting"
